"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","593","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""","","Wed Jan 29 20:53:57 GMT 2025","passed","Wed Jan 29 20:53:57 GMT 2025","","Inventory Page tests suite","",""
"","10967","Test Case #9 | Checkout without products","","Wed Jan 29 20:53:56 GMT 2025","failed","Wed Jan 29 20:54:07 GMT 2025","","Checkout Page tests suite","",""
"","3645","Test Case #5 | Saving cart contents after logout/login","","Wed Jan 29 20:53:52 GMT 2025","passed","Wed Jan 29 20:53:56 GMT 2025","","Cart Page tests suite","",""
"","2794","Test Case #1 | Login with the user valid login and the valid password","","Wed Jan 29 20:53:52 GMT 2025","passed","Wed Jan 29 20:53:55 GMT 2025","","Login Page tests suite","",""
"","633","Test Case #4 | Check that user can logout","","Wed Jan 29 20:53:56 GMT 2025","passed","Wed Jan 29 20:53:57 GMT 2025","","Login Page tests suite","",""
"","2368","Test Case #7 | Checking footer Twitter icon & link","","Wed Jan 29 20:53:57 GMT 2025","passed","Wed Jan 29 20:54:00 GMT 2025","","Inventory Page tests suite","",""
"","1346","Test Case #7 | Checking footer Facebook icon & link","","Wed Jan 29 20:54:00 GMT 2025","passed","Wed Jan 29 20:54:01 GMT 2025","","Inventory Page tests suite","",""
"","659","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""","","Wed Jan 29 20:53:56 GMT 2025","passed","Wed Jan 29 20:53:57 GMT 2025","","Inventory Page tests suite","",""
"","595","Test Case #3 | Login with the user invalid login and the valid password","","Wed Jan 29 20:53:56 GMT 2025","passed","Wed Jan 29 20:53:56 GMT 2025","","Login Page tests suite","",""
"","784","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""","","Wed Jan 29 20:53:55 GMT 2025","passed","Wed Jan 29 20:53:56 GMT 2025","","Inventory Page tests suite","",""
"","4119","Test Case #8 | Valid checkout","","Wed Jan 29 20:53:52 GMT 2025","passed","Wed Jan 29 20:53:56 GMT 2025","","Checkout Page tests suite","",""
"","829","Test Case #2 | Login with the user valid login and the invalid password","","Wed Jan 29 20:53:55 GMT 2025","passed","Wed Jan 29 20:53:56 GMT 2025","","Login Page tests suite","",""
"","1759","Test Case #7 | Checking footer LinkedIn icon & link","","Wed Jan 29 20:54:01 GMT 2025","passed","Wed Jan 29 20:54:03 GMT 2025","","Inventory Page tests suite","",""
"","3036","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""","","Wed Jan 29 20:53:52 GMT 2025","passed","Wed Jan 29 20:53:55 GMT 2025","","Inventory Page tests suite","",""
